#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
        8800       6.658611e-02       5.037532e-03       3.862492e-02       8.122324e-01       1.954184e-02       1.533671e-01
        8900       3.178801e-02       4.711438e-03       1.427311e-02       2.847024e-01       1.572637e-02       8.330527e-02
        9000       4.077605e-02       3.383485e-03       2.197191e-02       3.270963e-01       1.478821e-02       9.435186e-02
        9100       8.256619e-02       1.515361e-03       4.808885e-02       1.560793e+00       1.174742e-02       1.760847e-01
        9200       5.238469e-02       4.329223e-03       2.657720e-02       5.075112e-01       1.335427e-02       1.176437e-01
        9300       6.049151e-02       4.849717e-03       3.246190e-02       8.454821e-01       1.288662e-02       1.403073e-01
        9400       1.915495e-02       3.406750e-03       9.854507e-03       1.080973e-01       5.509121e-03       4.888178e-02
        9500       3.443798e-02       3.940078e-03       1.836969e-02       3.576472e-01       1.095293e-02       8.829019e-02
        9600       8.467723e-02       1.960484e-03       4.108810e-02       9.287278e-01       1.248839e-02       1.548442e-01
        9700       1.114038e-01       1.547622e-03       6.304472e-02       1.474660e+00       1.626860e-02       1.959159e-01
        9800       1.909233e-02       2.080350e-03       9.989047e-03       1.567044e-01       6.552094e-03       4.159158e-02
        9900       2.890553e-02       2.164108e-03       1.682082e-02       3.004687e-01       1.518222e-02       1.118419e-01
       10000       1.280567e-01       8.104550e-03       7.168273e-02       1.899533e+00       1.736317e-02       2.424156e-01
       10100       9.947138e-02       7.068228e-03       4.979253e-02       1.249935e+00       2.595584e-02       1.895527e-01
       10200       2.218262e-02       5.086388e-03       1.252810e-02       1.956817e-01       9.921238e-03       8.120571e-02
       10300       5.309693e-02       1.120821e-02       3.085635e-02       6.006248e-01       1.299344e-02       1.466210e-01
       10400       8.155076e-02       4.634954e-03       4.523734e-02       1.152573e+00       2.266062e-02       1.670732e-01
       10500       7.225578e-02       3.188427e-03       3.667620e-02       6.370948e-01       1.574176e-02       1.336651e-01
       10600       2.809290e-02       5.238318e-03       1.416888e-02       2.348767e-01       1.297480e-02       9.711180e-02
       10700       6.929910e-02       9.018605e-03       3.698767e-02       1.048191e+00       1.189275e-02       1.275807e-01
       10800       2.757053e-02       2.784068e-03       1.568552e-02       3.002091e-01       4.407719e-03       8.348395e-02
       10900       8.164926e-02       2.311063e-03       4.435125e-02       1.194423e+00       1.957833e-02       1.651501e-01
       11000       9.200172e-02       2.509412e-03       4.942749e-02       1.763643e+00       1.930307e-02       1.748954e-01
       11100       2.513763e-02       1.578606e-03       1.412823e-02       2.045473e-01       1.014389e-02       6.955084e-02
       11200       5.509963e-02       3.991551e-03       2.789402e-02       5.973282e-01       1.498305e-02       1.437558e-01
       11300       1.399092e-01       8.822199e-04       7.424079e-02       8.583046e-01       1.629611e-02       2.760077e-01
       11400       3.506147e-02       5.992225e-03       2.082783e-02       4.190529e-01       2.270747e-02       1.439237e-01
       11500       3.017905e-02       6.035735e-03       1.598832e-02       5.118342e-01       1.049678e-02       1.037457e-01
       11600       5.890729e-02       7.874374e-03       3.569076e-02       5.482255e-01       3.412314e-02       1.502146e-01
       11700       7.233195e-02       8.710792e-04       4.020266e-02       5.985267e-01       1.353994e-02       1.547035e-01
       11800       7.840801e-02       2.010578e-03       4.376883e-02       1.529041e+00       7.834315e-03       1.568687e-01
       11900       4.149414e-02       3.485420e-03       2.124612e-02       3.325714e-01       1.583451e-02       9.205285e-02
       12000       2.415984e-02       1.374920e-03       1.327806e-02       1.954011e-01       1.743433e-02       7.030813e-02
       12100       4.918963e-02       2.257383e-04       2.939531e-02       5.079528e-01       1.282777e-02       1.000891e-01
       12200       2.659250e-02       1.890719e-03       1.420696e-02       2.430050e-01       1.716916e-02       7.951416e-02
       12300       2.775560e-02       7.370345e-03       1.407600e-02       3.691262e-01       9.822672e-03       8.938067e-02
       12400       2.608141e-02       2.905187e-03       1.292165e-02       1.385198e-01       1.044901e-02       4.815417e-02
       12500       1.939817e-01       1.124889e-02       9.614905e-02       2.005837e+00       2.156933e-02       3.415580e-01
