#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       15100       3.719994e-01       6.067191e-02       2.257450e-01       1.720447e+00       9.278053e-02       6.547975e-01
       15200       2.914434e-01       3.319087e-02       1.542187e-01       1.740159e+00       5.270890e-02       5.127024e-01
       15300       2.620500e-01       3.895430e-02       1.402243e-01       1.705646e+00       3.884624e-02       4.764350e-01
       15400       4.467086e-01       1.067981e-02       2.428411e-01       2.232980e+00       8.339055e-02       7.352976e-01
       15500       2.856883e-01       1.183162e-02       1.411943e-01       1.839156e+00       4.570713e-02       5.070574e-01
       15600       1.294915e-01       2.291245e-02       7.795625e-02       1.172730e+00       3.847976e-02       2.946618e-01
       15700       2.402262e-01       1.902336e-02       1.147721e-01       2.064005e+00       3.899825e-02       4.674029e-01
       15800       2.026356e-01       1.159167e-02       9.362836e-02       2.037171e+00       4.412879e-02       3.720137e-01
       15900       2.417960e-01       2.399767e-02       1.304458e-01       1.821726e+00       3.008850e-02       4.319722e-01
       16000       2.699355e-01       2.019730e-02       1.547327e-01       2.196482e+00       4.862581e-02       5.227556e-01
       16100       4.539098e-01       2.241991e-02       2.160939e-01       1.986695e+00       1.000352e-01       7.141693e-01
       16200       4.501322e-01       5.029800e-02       2.476249e-01       2.891067e+00       6.979218e-02       7.297698e-01
       16300       3.031524e-01       2.111821e-02       1.703226e-01       2.050911e+00       8.118593e-02       5.331774e-01
       16400       4.506629e-01       2.135141e-02       2.587266e-01       2.080419e+00       5.417574e-02       7.928082e-01
       16500       5.134869e-01       4.561461e-02       2.754446e-01       2.473766e+00       6.360326e-02       8.269071e-01
       16600       2.869214e-01       6.542532e-03       1.488512e-01       1.937157e+00       5.657393e-02       5.348830e-01
       16700       6.683127e-01       4.593405e-02       3.198291e-01       2.912632e+00       1.344096e-01       1.037917e+00
       16800       5.079844e-01       1.338765e-02       2.614394e-01       1.911113e+00       9.025168e-02       8.711604e-01
       16900       3.477646e-01       2.984260e-02       1.814656e-01       2.047689e+00       8.767368e-02       5.993470e-01
       17000       2.572355e-01       1.063595e-02       1.177084e-01       2.079050e+00       6.550455e-02       4.121392e-01
       17100       3.725467e-01       1.469846e-02       2.209882e-01       2.292310e+00       6.197009e-02       7.220083e-01
       17200       2.599726e-01       5.577111e-02       1.390564e-01       1.935523e+00       7.082661e-02       4.736089e-01
       17300       3.409211e-01       1.186212e-02       1.803657e-01       2.557907e+00       7.550090e-02       6.067165e-01
       17400       2.886515e-01       1.938067e-02       1.512878e-01       2.347851e+00       6.247805e-02       5.253202e-01
       17500       2.480364e-01       1.277549e-02       1.354116e-01       2.165891e+00       7.121653e-02       4.860626e-01
       17600       5.221760e-01       8.361580e-03       2.787688e-01       2.570815e+00       3.573033e-02       8.152841e-01
       17700       3.641993e-01       1.572956e-02       1.867278e-01       2.661178e+00       8.471778e-02       6.350520e-01
       17800       5.347055e-01       6.049064e-02       2.948985e-01       2.156455e+00       7.470291e-02       8.183520e-01
       17900       5.754724e-01       2.512835e-02       3.094867e-01       2.067163e+00       1.062407e-01       9.001360e-01
       18000       4.170136e-01       4.796096e-02       2.309099e-01       2.679547e+00       5.564207e-02       7.170528e-01
