#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   9700      1.77e-01    1.25e-01      1.45e-02    1.45e-02      5.60e-03    3.95e-03    5.0e-03
   9800      2.13e-01    3.28e-01      6.87e-02    7.25e-02      6.49e-03    1.02e-02    5.0e-03
   9900      3.68e-01    3.22e-01      8.73e-03    7.92e-03      1.16e-02    1.02e-02    5.0e-03
  10000      2.62e-01    1.86e-01      8.09e-02    7.63e-02      7.55e-03    4.80e-03    4.7e-03
  10100      3.41e-01    3.79e-01      1.11e-02    2.20e-02      1.10e-02    1.23e-02    4.7e-03
  10200      1.79e-01    2.05e-01      2.83e-02    2.41e-02      5.63e-03    6.56e-03    4.7e-03
  10300      2.37e-01    2.06e-01      4.78e-02    5.20e-02      7.35e-03    6.20e-03    4.7e-03
  10400      1.78e-01    1.47e-01      4.05e-03    1.08e-02      5.76e-03    4.73e-03    4.7e-03
  10500      1.97e-01    1.97e-01      4.27e-02    4.08e-02      6.07e-03    6.08e-03    4.7e-03
  10600      1.41e-01    1.98e-01      3.94e-02    4.24e-02      4.16e-03    6.09e-03    4.7e-03
  10700      1.01e-01    1.07e-01      7.65e-03    1.10e-02      3.27e-03    3.43e-03    4.7e-03
  10800      1.45e-01    1.93e-01      2.26e-02    2.23e-02      4.56e-03    6.18e-03    4.7e-03
  10900      1.41e-01    1.56e-01      2.68e-02    1.94e-02      4.40e-03    4.97e-03    4.7e-03
  11000      2.08e-01    2.18e-01      2.83e-02    2.89e-02      6.59e-03    6.92e-03    4.7e-03
  11100      1.69e-01    1.20e-01      7.63e-03    7.53e-03      5.47e-03    3.88e-03    4.7e-03
  11200      2.92e-01    3.61e-01      1.46e-01    1.55e-01      6.35e-03    9.02e-03    4.7e-03
  11300      1.69e-01    1.57e-01      3.67e-03    3.61e-03      5.49e-03    5.10e-03    4.7e-03
  11400      2.26e-01    1.06e-01      1.61e-02    1.58e-02      7.28e-03    3.36e-03    4.7e-03
  11500      1.58e-01    2.07e-01      4.72e-02    4.73e-02      4.60e-03    6.32e-03    4.7e-03
  11600      1.30e-01    1.11e-01      1.03e-02    9.68e-04      4.18e-03    3.62e-03    4.7e-03
  11700      2.17e-01    2.43e-01      5.93e-02    5.13e-02      6.44e-03    7.50e-03    4.7e-03
  11800      2.20e-01    2.32e-01      1.06e-01    1.10e-01      4.97e-03    5.36e-03    4.7e-03
  11900      1.37e-01    1.26e-01      3.69e-03    3.76e-03      4.43e-03    4.08e-03    4.7e-03
  12000      2.62e-01    1.67e-01      3.35e-03    5.42e-03      8.49e-03    5.41e-03    4.7e-03
  12100      1.76e-01    1.31e-01      1.98e-02    1.59e-02      5.62e-03    4.17e-03    4.7e-03
