#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   8800      2.13e-01    3.45e-01      2.72e-02    2.21e-02      6.70e-03    1.09e-02    5.0e-03
   8900      1.35e-01    1.37e-01      3.59e-02    4.29e-02      4.17e-03    4.19e-03    5.0e-03
   9000      3.19e-01    1.76e-01      1.89e-02    3.00e-02      1.01e-02    5.52e-03    5.0e-03
   9100      1.84e-01    1.48e-01      5.37e-03    5.32e-03      5.82e-03    4.69e-03    5.0e-03
   9200      1.76e-01    2.15e-01      4.45e-02    5.17e-02      5.44e-03    6.67e-03    5.0e-03
   9300      1.45e-01    1.51e-01      4.52e-02    3.93e-02      4.44e-03    4.68e-03    5.0e-03
   9400      1.51e-01    1.32e-01      1.70e-02    1.36e-02      4.76e-03    4.16e-03    5.0e-03
   9500      1.35e-01    1.46e-01      2.97e-04    1.72e-03      4.27e-03    4.63e-03    5.0e-03
   9600      2.34e-01    2.59e-01      1.71e-01    1.75e-01      5.99e-03    6.91e-03    5.0e-03
   9700      2.51e-01    2.58e-01      1.30e-01    1.36e-01      7.24e-03    7.38e-03    5.0e-03
   9800      1.50e-01    1.38e-01      4.29e-02    4.01e-02      4.63e-03    4.23e-03    5.0e-03
   9900      3.30e-01    2.52e-01      2.92e-02    2.98e-02      1.04e-02    7.93e-03    5.0e-03
  10000      2.50e-01    1.73e-01      2.62e-02    4.72e-02      8.00e-03    5.14e-03    4.7e-03
  10100      1.10e-01    1.26e-01      3.64e-02    3.82e-02      3.11e-03    3.63e-03    4.7e-03
  10200      1.38e-01    1.48e-01      4.28e-02    4.49e-02      3.99e-03    4.29e-03    4.7e-03
  10300      1.39e-01    1.46e-01      5.24e-02    5.54e-02      3.72e-03    3.92e-03    4.7e-03
  10400      1.30e-01    1.28e-01      4.13e-02    4.97e-02      3.70e-03    3.40e-03    4.7e-03
  10500      2.12e-01    1.33e-01      5.68e-02    5.54e-02      6.31e-03    3.39e-03    4.7e-03
  10600      1.91e-01    1.60e-01      5.67e-02    4.84e-02      5.55e-03    4.64e-03    4.7e-03
  10700      9.74e-02    1.08e-01      1.04e-02    3.21e-03      3.12e-03    3.51e-03    4.7e-03
  10800      1.46e-01    1.57e-01      1.63e-03    6.48e-04      4.75e-03    5.11e-03    4.7e-03
  10900      2.22e-01    2.26e-01      5.35e-02    6.99e-02      6.74e-03    6.51e-03    4.7e-03
  11000      1.18e-01    1.29e-01      5.73e-03    1.22e-02      3.82e-03    4.13e-03    4.7e-03
  11100      1.14e-01    1.16e-01      8.71e-04    9.92e-06      3.69e-03    3.75e-03    4.7e-03
  11200      1.51e-01    1.23e-01      3.23e-03    1.78e-03      4.90e-03    3.98e-03    4.7e-03
  11300      1.17e-01    1.13e-01      1.65e-02    3.09e-02      3.70e-03    3.37e-03    4.7e-03
  11400      1.51e-01    1.86e-01      5.85e-02    5.62e-02      4.01e-03    5.39e-03    4.7e-03
  11500      2.45e-01    1.48e-01      4.06e-02    4.07e-02      7.69e-03    4.38e-03    4.7e-03
